px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	3.08297e-321
0.735335	0.629467	7.20389	-2.01234e-17	-1.02444e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	74.6701
1.17086	0.482642	7.23139	-0.0143907	-0.00134088	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.0393317
1.26249	0.52582	7.16408	0.232403	0.0395788	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	1.79784
1.62019	0.618945	7.54623	0.346503	0.0573718	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.384068
1.81083	0.555968	5.71893	0.127871	-0.0169929	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	3.16763
2.15081	0.637518	6.33051	0.168442	-0.00163175	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.268657
2.29375	0.648592	5.19789	0.154552	-0.0346926	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	2.35008
2.63197	0.668494	5.67165	0.125177	-0.0632717	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.122678
2.87518	0.647178	5.37128	0.0729273	-0.195712	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.226226
3.03795	0.642828	4.94277	0.0521363	-0.237799	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.14495
3.38886	0.521757	5.35178	-0.0976587	-0.563241	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	1.67047
3.82986	0.351608	5.99787	-0.262983	-0.85633	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	1.03141
4.05894	0.524361	5.70247	-0.0855126	-0.376806	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	4.4118
4.31803	0.56254	5.65348	-0.0473621	-0.248914	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0636445
4.52983	0.618058	5.39214	-0.0141214	-0.17252	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.965894
4.50726	0.826973	4.60331	0.127446	0.0952914	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	3.95117
4.83506	0.737404	4.87489	0.0324183	-0.0942693	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	3.19438
5.35131	0.67705	5.5508	-0.0117601	-0.1468	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	3.44855
5.58087	0.674513	5.46784	-0.0170667	-0.142956	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	1.57649
5.95291	0.70088	5.69627	0.0072323	-0.0835841	6.022	0.708619	5.78828	0.728072	5.15932	0.372999	0.544896
6.08743	0.543172	5.31665	-0.133291	-0.319093	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793	4.71149
6.35467	0.815387	5.31717	0.0652845	0.00887774	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233	2.62498
6.57458	0.827758	5.19846	0.057997	-0.00549264	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305	0.467088
6.80298	0.75748	5.14266	0.00193718	-0.084434	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999	0.294541
7.01729	0.701464	5.00644	-0.0442599	-0.146109	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269	2.36487
7.20343	0.852875	4.89439	0.0426049	-0.0259715	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123	1.61656
7.59853	0.859755	5.21233	0.0475727	-0.0131334	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531	5.35128
7.82898	0.781796	5.15957	-0.00445341	-0.0756878	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469	0.480965
8.06577	0.789491	5.07211	-0.00725581	-0.0773239	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915	2.46938
8.28501	0.815585	5.01641	0.0026934	-0.0621368	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843	0.173942
8.6082	0.948849	5.2097	0.0739343	0.0245033	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226	6.81023
8.8113	1.00879	5.1186	0.0940047	0.044234	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037	0.491858
9.1613	1.05207	5.2703	0.106777	0.0562395	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245	6.58469
9.34512	1.06247	5.14122	0.100521	0.0463056	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082	0.680311
9.67153	1.15196	5.2696	0.132472	0.0772606	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873	4.30246
9.98724	1.31412	5.37401	0.193337	0.135101	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794	1.83274
10.2097	1.41015	5.2396	0.22183	0.1579	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841	4.69215
10.368	1.46369	5.0813	0.230405	0.159045	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701	1.13791
10.5817	1.5423	4.96427	0.250075	0.171904	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298	3.34357
10.7815	1.53743	4.88516	0.232299	0.146473	10.7313	1.45265	10.853	1.56549	4.90794	1.39701	0.773977
11.0965	1.58057	5.03028	0.228665	0.134689	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	2.54354
11.4503	1.62756	5.20546	0.223975	0.122515	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	1.5091
11.6439	1.67096	5.07406	0.228815	0.122162	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	1.2233
11.8407	1.73648	4.99543	0.241551	0.129059	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.314196
